["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.8737028625000000e+014 6.4395191436137852e-004 5.5689841962897779e-001
1.8749519977416666e+014 6.5942298572442179e-004 5.2944610661499847e-001
1.8762011329833334e+014 6.7908717275304590e-004 5.0942247065773427e-001
1.8774502682250000e+014 7.0144589827130172e-004 4.9777324967005121e-001
1.8786994034666666e+014 7.2489573172474875e-004 4.9453277655331795e-001
1.8799485387083334e+014 7.4788436446719686e-004 4.9906174677181170e-001
1.8811976739500000e+014 7.6901881412964879e-004 5.1029698741914697e-001
1.8824468091916666e+014 7.8713158960150840e-004 5.2695086077615538e-001
1.8836959444333334e+014 8.0131658934085742e-004 5.4764478476377476e-001
1.8849450796750000e+014 8.1094566045227477e-004 5.7098646574933754e-001
1.8861942149166666e+014 8.1567350740162250e-004 5.9560826381673615e-001
1.8874433501583334e+014 8.1676476198290254e-004 6.1905064993009051e-001
1.8886924854000000e+014 8.1305722042666450e-004 6.4108099040605682e-001
1.8899416206416666e+014 8.0502552495799776e-004 6.6047342978320822e-001
1.8911907558833334e+014 7.9339176551435878e-004 6.7609134618506705e-001
1.8924398911250000e+014 7.7909772627904328e-004 6.8693162775413352e-001
1.8936890263666666e+014 7.6326393521035667e-004 6.9219574451566945e-001
1.8949381616083334e+014 7.4713093283885774e-004 6.9138783407960680e-001
1.8961872968500000e+014 7.3197896867124195e-004 6.8442908765307653e-001
1.8974364320916666e+014 7.1902591105258752e-004 6.7176155883301647e-001
1.8986855673333334e+014 7.0931042152724507e-004 6.5439878038670984e-001
1.8999347025750000e+014 7.0484174751797059e-004 6.3258977143959039e-001
1.9011838378166666e+014 7.0475957363352112e-004 6.0959104127571506e-001
1.9024329730583334e+014 7.0900451397929549e-004 5.8740409770117885e-001
1.9036821083000000e+014 7.1711939107960978e-004 5.6781115199643617e-001
1.9049312435416666e+014 7.2833448198330437e-004 5.5214885587425167e-001
